kaart;type;straat;huisnummer;huisnummerletter;huisnummertoevoeging;postcode;plaats;stadsdeel;www;email;telefoonnummer;fax;openingstijden;bijzonderheden;;
Groepspraktijk Van Breestraat, fysiotherapiepraktijk;adres;Van Breestraat;193;;-195;1071ZN;Amsterdam;Zuid;http://fysiotherapievanbreestraat.nl;info@fysiotherapievanbreestraat.nl;020 662 9348;;;fysiotherapie, kinderfysiotherapie, manuele therapie, sportfysiotherapie.;;
Mediq Apotheek Buiksloter;adres;Banne Buikslootlaan;131;;;1034AC;Amsterdam;Noord;https://buiksloter.mediq-apotheek.nl;buiksloter@mediq-apotheek.nl;020 633 1122;020 631 6543;;;;
Woonzorgcentrum De Buitenhof;adres;Nieuw Herlaer;2;;;1083BD;Amsterdam;Zuid;http://www.cordaan.nl;;020 504 4000;;;"zorgcentrum de buitenhof is een gecombineerd verpleeg- en verzorgingshuis. in de buitenhof kunnen ouderen zelfstandig wonen in een &eacute;&eacute;n- of tweekamerappartement, waarbij er hulp en ond";;
Benu Apotheek De Buitenveldert;adres;Kastelenstraat;167;;-169;1082ED;Amsterdam;Zuid;https://debuitenveldert.benuapotheek.nl;debuitenveldert@benuapotheek.nl;020 642 0546;020 661 2687;;;;
Wijkopbouwcentrum Buitenveldert (WOCB);adres;Arent Janszoon Ernststraat;112;;;1082LP;Amsterdam;Zuid;http://www.wocbuitenveldert.nl;;020 644 9936;;;het wocb is een organisatie van vrijwilligers, die zich inzet voor het behartigen van de belangen van de inwoners van buitenveldert en de prinses irenebuurt.;;
Woonzorgcentrum Buitenveldert;adres;Doornburg;2;;;1081JB;Amsterdam;Zuid;http://www.cordaan.nl;;020 504 6000;;;woonzorgcentrum buitenveldert is een verzorgingshuis van cordaan in amsterdam zuid waar ouderen zelfstandig kunnen wonen in een eigen appartement en hulp en ondersteuning krijgen waar dat nodig is.;;
Huis van de wijk Buitenveldert;adres;Arent Janszoon Ernststraat;112;;;1082LP;Amsterdam;Zuid;http://www.puurzuid.nl/;;020 570 6262;;;in huis van de wijk buitenveldert kunt u terecht voor:<br /> sociaal werk<br /> sociaal juridisch werk<br /> schuldhulpverlening;;
SWAZOOM;adres;Harriet Freezerstraat;119;b;;1103JP;Amsterdam;Zuidoost;http://www.swazoom.nl;info@swazoom.nl;020 569 6867;020 569 6850;;swazoom is een welzijnsorganisatie die, samen met bewoners, scholen, winkeliers en andere samenwerkingspartners, alle kinderen en jongeren in amsterdam zuidoost goede ontwikkelkansen wil bieden.;;
SWAZOOM;postadres;Postbus;12241;;;1100AE;Amsterdam;;http://www.swazoom.nl;info@swazoom.nl;020 569 6867;020 569 6850;;swazoom is een welzijnsorganisatie die, samen met bewoners, scholen, winkeliers en andere samenwerkingspartners, alle kinderen en jongeren in amsterdam zuidoost goede ontwikkelkansen wil bieden.;;
CHJC, vereniging van christelijke homo's en lesbiennes;postadres;Postbus;14722;;;1001LE;Amsterdam;;http://www.chjc.nl;;;;;de vereniging heeft als doel mensen met een christelijke levensovertuiging, die homoseksueel zijn, samen te brengen en daarnaast de integratie van homoseksuelen binnen kerk en samenleving te bev;;
Apotheek De Castro;adres;Muiderstraat;14;;-16;1011RB;Amsterdam;Centrum;http://www.apotheekdecastro.nl;apotheekdecastro@ezorg.nl;020 624 1363;020 620 9023;;;;
Stichting BSN Werkervaringsbedrijf;adres;Papaverweg;35;;;1032KE;Amsterdam;Noord;http://www.bsn-werkervaringsbedrijf.nl;mail@bsn-werkervaringsbedrijf.nl;020 634 3168;020 632 5401;;<strong>aanbod</strong><br /> bsn werkervaringsbedrijf (voorheen buurt service noord) biedt de mogelijkheid vakkennis en werkervaring op te doen, waarna bemiddeling voor toetreding tot de arbeidsma;;
Stichting BSN Werkervaringsbedrijf;postadres;Postbus;36253;;;1020MG;Amsterdam;;http://www.bsn-werkervaringsbedrijf.nl;mail@bsn-werkervaringsbedrijf.nl;020 634 3168;020 632 5401;;<strong>aanbod</strong><br /> bsn werkervaringsbedrijf (voorheen buurt service noord) biedt de mogelijkheid vakkennis en werkervaring op te doen, waarna bemiddeling voor toetreding tot de arbeidsma;;
Centrale Dorpenraad Landelijk Noord;adres;Dorpsweg Ransdorp;35;;;1028BK;Amsterdam;Noord;http://www.centraledorpenraad.nl;info@centraledorpenraad.nl;020 490 4437;;maandag, dinsdag, donderdag en vrijdag van 9.00 tot 15.00 uur.;centrum voor bewonersparticipatie en bestuurlijke ondersteuning.<br /> belangenbehartiging van de inwoners van landelijk noord bij het stadsdeel amsterdam-noord en bij andere overheden en organisat;;
Centrum PS;adres;Tweede Kostverlorenkade;15;;;1052RL;Amsterdam;West;http://www.volksbond.nl;;088 445 4160;;;niet alleen mensen met psychiatrische of psychosociale problemen zijn bij centrum ps/buurtkamer kostelijk van harte welkom maar ook bewoners uit de buurt. zeven dagen per week, het hele jaar door.;;
Mensendieckpraktijk Centrum;adres;Marnixstraat;385;;sous;1016XR;Amsterdam;Centrum;http://www.mensendieckcentrum.nl;info@mensendieckcentrum.nl;020 627 9522;;;;;
Speel-o-theek 't Boomsspijkertje;adres;Recht Boomssloot;52;;;1011EC;Amsterdam;Centrum;http://www.welzijn.ijsterk.nl;;020 626 4002;;;'t boomspijkertje heeft speelgoed voor kinderen van 0-6 jaar.;;
Fysiotherapie en oefentherapie Gein;adres;Wisseloordplein;50;;;1106MH;Amsterdam;Zuidoost;https://gezondheidscentrum-gein.praktijkinfo.nl/pagina/24/fysiotherapie/;;020 697 3074;;;<ul>        <li>oefentherapie cesar </li>        <li>fysiotherpie </li>        <li>manuele therapie </li>      </ul>;;
JenS Beenhakker;adres;H.J.E. Wenckebachweg;47;D;;1096AK;Amsterdam;Oost;http://www.beenhakker.nl;;;;;beenhakker is leverancier van mobiliteits- en revalidatiehulpmiddelen en heeft o.a. een afdeling in amsterdam.;;
Stichting Chinese Sportfederatie in Nederland (CSN);adres;Postbus;16569;;;1001RB;Amsterdam;;http://chinesesportfederatie.nl;website@chinesesportfederatie.nl;;;;doel: organiseren sporttoernooien voor chinezen in nederland, ook toegankelijk voor nederlanders en andere ethnische minderheden.                 dit om integratie van chinezen in n;;
Chinese Vrouwenvereniging Ho-Yin, Amsterdam e.o.;adres;Waldenlaan;171;;;1093NH;Amsterdam;Oost;;vhyho@hotmail.com;06 2227 7032;;bezoek op afspraak.;ho-yin behartigt de belangen van chinese vrouwen in amsterdam en omgeving.                    activiteiten: informatieve bijeenkomsten, workshops, excursies, cursussen. ho-yin huurt dan;;
Weet: vereniging rond eetstoornissen;postadres;Stationsweg;6;B;;3862CB;NIJKERK;;http://weet.info;info@weet.info;0900 821 2433;;ma tm vr 9.00 - 17. uur;"weet&nbsp;is een landelijke organisatie voor mensen met een eetstoornis (anorexia, boulimia en binge eating disorder) en voor mensen in hun omgeving.";;
Huis van de Buurt Het Claverhuis;adres;Elandsgracht;70;;;1016TX;Amsterdam;Centrum;http://www.welzijn.ijsterk.nl;claverhuis@ijsterk.nl;020 624 8353;;maandag t/m zondag.;in het buurtcentrum worden verschillende cursussen en culturele activiteiten georganiseerd.;;
Tiener- en jongerencentrum De Clutch;adres;Tweede Leeghwaterstraat;5;b;;1018RA;Amsterdam;Centrum;http://www.welzijn.ijsterk.nl;clutch@ijsterk.nl;020 320 2583;;;de clutch is een tiener- en jongerencentrum (10-15 en 16+).<br /> <br /> de clutch heeft inlopen in alle soorten en maten, vaak ook in de weekenden.<br /> regelmatig zijn er speciale activiteiten,;;
Dagcentrum de Rank;adres;Druivenstraat;35;;;1033JR;Amsterdam;Noord;http://www.cordaan.nl;;020 631 7863;;;dagcentrum voor volwassenen verstandelijk gehandicapten.;;
COC Amsterdam;adres;Stadhouderskade;89;;;1073AV;Amsterdam;Zuid;http://www.cocamsterdam.nl;info@cocamsterdam.nl;020 626 3087;;;"de vereniging coc amsterdam is de grootste van de bij het coc-nederland aangesloten verenigingen.<br /> coc amsterdam behartigt belangen, doet aan voorlichting en cre&euml;ert een ontmoetingsplek voor";;
Fysiotherapie Confuciusplein;adres;Descartesstraat;110;;;1064ZB;Amsterdam;Nieuw West;http://www.fysiotherapieconfuciusplein.nl;info@fysiotherapieconfuciusplein.nl;020 611 1990;;;;;
VeiligheidNL;adres;Overschiestraat;65;;;1062XD;Amsterdam;Nieuw West;http://www.veiligheid.nl;;020 511 4511;;;veiligheidnl (voorheen stichting consument en veiligheid) werkt aan de verbetering van de veiligheid van de leefomgeving. hierdoor wordt de omvang en ernst van letsels teruggedrongen.<br /> het gaa;;
Rutgers fysiotherapie;adres;Coppelstockstraat;25;;;1056XK;Amsterdam;West;http://www.rutgerstherapie.nl; info@rutgerstherapie.nl;020 683 8165;;;;;
Stichting Korrelatie;adres;Stationsplein;125;;;3818LE;Amersfoort;;http://www.korrelatie.nl;vraag@korrelatie.nl;0900 1450;033 422 0101;hulp- en informatielijn: werkdagen 09.00-18.00 uur.;stichting korrelatie is een landelijk kenniscentrum, gespecialiseerd in het geven van telefonische informatie, advies en hulp op het gebied van zorg, welzijn, psychosociale problemen, opvoeding enz;;
Fysiotherapie Couperus;adres;Louis Couperusstraat;133;;;1064CE;Amsterdam;Nieuw West;http://fysiocouperus.nl;;020 611 8027;020 611 8338;;tevens manuele therapie, haptonomie, groepstherapie voor migrantenvrouwen.;;
Stichting De Omslag;adres;WG-plein;113;;;1054SC;Amsterdam;West;http://www.deomslag.nl;info@deomslag.nl;020 486 0149;;;stichting de omslag ondersteunt organisaties in de zorg en welzijn (ggz, verslavingszorg, gehandicaptenzorg etc.) met als doel de maatschappelijke participatie van mensen met een beperking te be;;
Streetcornerwork Team Zuidoost;adres;Krimpertplein;3;b;;1104PH;Amsterdam;Zuidoost;http://www.streetcornerwork.eu;info@streetcornerwork.eu;020 416 7500;020 699 7852;"open spreekuur blenchi (caribische doelgroep 12 tm 23 jaar)&nbsp;maandag, woensdag en vrijdag van<br /> 10.00 t/m 14.00    volwassenen-veldwerk (en hulpverlening): cli&euml;nten kunnen zich aa";"team zuidoost richt zich op jongeren tussen de 12 en 23 jaar, die problemen hebben met bijvoorbeeld school, werk, wonen, financi&euml;n (waaronder schulden), justitie, gezondheid, sociaal netwerk, vri";;
Inloophuis Czaar 51;adres;Czaar Peterstraat;51;;;1018PB;Amsterdam;Centrum;http://czaar51.nl/;;020 468 8287;;;inloophuis voor buurtbewoners in eigen beheer.;;
Fysiotherapie Da Costa;adres;Da Costastraat;16;;;1053ZB;Amsterdam;West;http://www.dacostafysiotherapie.nl;info@dacostafysiotherapie.nl;020 616 6401;;;specialisaties:<br /> <br /> - bekkenfysiotherapie<br /> - manuele therapie<br /> - acupunctuur<br /> - zwangerschapsbegeleiding<br /> - diabetes behandeling<br /> - medische training bij rugklacht;;
BENU apotheek Dam;adres;Damstraat;2;;;1012JM;Amsterdam;Centrum;https://dam.benuapotheek.nl;damapotheek@zorgbyte.nl;020 624 4331;020 623 7385;;;;
FysioDapperbuurt;adres;Wagenaarstraat;503;;;1093CN;Amsterdam;Oost;http://www.fysiodapperbuurt.nl;info@fysiodapperbuurt.nl;020 663 1785;;;;;
FysioDapperbuurt;adres;Kastanjeplein;60;;;1092LA;Amsterdam;Oost;http://www.fysiodapperbuurt.nl;info@fysiodapperbuurt.nl;020 663 1785;;;;;
Fysiomed Sportmedisch Centrum;adres;IJsbaanpad;4;;-6;1076CV;Amsterdam;Zuid;http://www.fysiomed.org;;020 560 8920;;;;;
Diabetesvereniging Nederland, Regio Amsterdam Haarlem e.o.;adres;Eerste Helmersstraat;17;;B;1054CX;Amsterdam;West;http://www.amsterdamhaarlemeo.dvn.nl;post@dvn-amsterdam.nl;020 683 3397;;;de diabetesvereniging nederland (dvn) is een vereniging van en voor mensen met diabetes. de afdeling amsterdam en omstreken wordt aangestuurd vanuit het diabetes informatie centrum amsterdam (dica);;
Verpleeghuis De Die;adres;Loenermark;900;;;1025VR;Amsterdam;Noord;http://www.cordaan.nl;dedie@cordaan.nl;088 267 3226;;;"verpleeghuis de die biedt de volgende zorg:<br /> -&nbsp;geriatrische revalidatie zorg (grz)<br /> -&nbsp;palliatieve zorg<br /> -&nbsp;psychogeriatrische zorg<br /> -&nbsp;somatische zorg<br /> -&";;
Markant, Centrum voor Mantelzorg;adres;Zwanenburgwal;206;;;1011JH;Amsterdam;Centrum;http://www.markant.org;info@markant.org;020 886 8800;;;markant, centrum voor mantelzorg is het centrum voor mantelzorgers in amsterdam en diemen.             markant is ook het stedelijk expertisecentrum mantelzorgondersteuning amsterdam voor pr;;
Seniorensoos Driemond / Dorpsraad Driemond;postadres;Stammerlandweg;10;;;1109BR;Amsterdam;Zuidoost;http://www.driemond.info;dorpsraad@driemond.info;0294 414 883;;ma t/m vr: 09.30-12.30 uur.;stichting dorpsraad driemond e.o. behartigt de belangen van driemond en haar bewoners bij o.a. het stadsdeel zuidoost.             er is maandelijks een openbare dorpsraadvergadering en vijf;;
Tandartsengroepspraktijk Van Eesterenlaan;adres;C. van Eesterenlaan;303;;-311;1019KT;Amsterdam;Oost;http://www.tandartspraktijkcvaneesterenlaan.nl;info@tandartspraktijkcvaneesterenlaan.nl;020 419 6856;;;;;
Verpleeghuis Dr. Sarphatihuis;adres;Roetersstraat;2;;;1018WC;Amsterdam;Centrum;http://www.amsta.nl;infosarphatihuis@amsta.nl;020 554 0404;;;"het dr. sarphatihuis is een verpleeghuis voor ouderen&nbsp;in amsterdam.&nbsp;het verpleeghuis biedt het volgende zorg- en dienstenaanbod:<br /> <br /> * verpleeghuiszorg somatiek<br /> * verpleegh";;
Woonzorgcentrum De Drie Hoven;adres;Louis Bouwmeesterstraat;377;;;1065NS;Amsterdam;Nieuw West;http://www.amstelring.nl/dedriehoven;;020 449 7272;;;"een&nbsp;woonzorgcentrum waar&nbsp;ouderen met een chronische ziekte, handicap of lichte dementie kunnen komen wonen.    <strong>specialistische zorg:&nbsp; </strong><br /> *&nbsp;kleinschalig";;
Woonzorgcentrum Eben Haëzer;adres;Wisseloord;219;;;1106MB;Amsterdam;Zuidoost;http://www.cordaan.nl;ebenhaezer@cordaan.nl;020 564 2000;;;"eben ha&euml;zer is een woonzorgcentrum in amsterdam zuidoost. het centrum biedt een combinatie van aanleunwoningen, &eacute;&eacute;nkamerappartementen en een dienstencentrum.";;
Evean Eduard Douwes Dekker;adres;Schoenerstraat;11;;;1034XZ;Amsterdam;Noord;http://www.evean.nl;;020 631 8333;;;het eduard douwes dekkerhuis is een centrum voor ouderenzorg op humanistische grondslag.    het douwes dekkerhuis heeft een dagcentrum voor (jong) dementerenden, psychiatrische clienten en cva;;
SEZO Maatschappelijke Dienstverlening;postadres;Postbus;90453;;;1006BL;Amsterdam;;http://www.sezo.nl;info@sezo.nl;020 667 5100;020 667 0658;;sezo is een instelling voor maatschappelijke dienstverlening in stadsdeel nieuw-west met maatschappelijk werk, sociaal raadslieden en schuldhulpverlening.;;
SEZO Maatschappelijke Dienstverlening;adres;Wolbrantskerkweg;84;;;1069DA;Amsterdam;Nieuw West;http://www.sezo.nl;info@sezo.nl;020 667 5100;020 667 0658;;sezo is een instelling voor maatschappelijke dienstverlening in stadsdeel nieuw-west met maatschappelijk werk, sociaal raadslieden en schuldhulpverlening.;;
SEZO Maatschappelijke Dienstverlening;adres;Ottho Heldringstraat;5;;;1066AZ;Amsterdam;Nieuw West;http://www.sezo.nl;info@sezo.nl;020 667 5100;020 667 0658;;sezo is een instelling voor maatschappelijke dienstverlening in stadsdeel nieuw-west met maatschappelijk werk, sociaal raadslieden en schuldhulpverlening.;;
Rechtswinkel Amsterdam;adres;Dusartstraat;50;;-52;1072HT;Amsterdam;Zuid;http://www.rechtswinkelamsterdam.nl;;020 673 1311;;inloopspreekuur: woensdag en donderdag van 18.00 - 19.30 uur.    telefonisch spreekuur: maandag t/m vrijdag vam 10.00 - 17.00 uur (dinsdag ook van 18.30 - 21.00 uur).;de rechtswinkel geeft gratis juridisch advies.;;
Eigen Haard, Woningbouwvereniging;adres;Arlandaweg;88;;;1043EX;Amsterdam;Westpoort;http://www.eigenhaard.nl;info@eigenhaard.nl;020 680 1801;;;eigen haard verhuurt en beheert in amsterdam en omstreken ruim 48.000 woningen, garages en bedrijsruimten.;;
Eigen Haard, Woningbouwvereniging;postadres;Postbus;67065;;;1060JB;Amsterdam;;http://www.eigenhaard.nl;info@eigenhaard.nl;020 680 1801;;;eigen haard verhuurt en beheert in amsterdam en omstreken ruim 48.000 woningen, garages en bedrijsruimten.;;
Stichting Eigenwijks;adres;Jan Tooropstraat;6;;;1062BM;Amsterdam;Nieuw West;http://www.eigenwijks.nl;info@eigenwijks.nl;020 346 0670;;;eigenwijks is een organisatie van samenwerkende wijkbewoners in amsterdam. de hoofddoelstelling is een bijdrage te leveren aan de verbetering van het woon- en leefklimaat in het stadsdeel.<;;
Stichting Eigenwijks;adres;Slotermeerlaan;103;H;;1063JN;Amsterdam;Nieuw West;http://www.eigenwijks.nl;info@eigenwijks.nl;020 346 0670;;;eigenwijks is een organisatie van samenwerkende wijkbewoners in amsterdam. de hoofddoelstelling is een bijdrage te leveren aan de verbetering van het woon- en leefklimaat in het stadsdeel.<;;
Stichting Eigenwijks;adres;Albardakade;5;;-7;1067DD;Amsterdam;Nieuw West;http://www.eigenwijks.nl;info@eigenwijks.nl;020 346 0670;;;eigenwijks is een organisatie van samenwerkende wijkbewoners in amsterdam. de hoofddoelstelling is een bijdrage te leveren aan de verbetering van het woon- en leefklimaat in het stadsdeel.<;;
Stichting Het Gespuis;adres;Spuistraat;47;;A;1012SR;Amsterdam;Centrum;http://www.stichtinghetgespuis.nl;;;;;stichting het gespuis faciliteert en ondersteunt amsterdamse jongerenorganisaties. het gespuis biedt de organisaties kosteloos ruimte en gereedschap voor het beleggen van vergaderingen, het houd;;
Alphega apotheek Elsenburg;adres;Van der Pekstraat;60;;-64;1031ED;Amsterdam;Noord;https://www.alphega-apotheek.nl/web/apotheekelsenburg;elsenburg@ezorg.nl;020 636 0250;020 636 6893;;;;
Dagcentrum de Elzen;adres;Clauskindereweg;17;;;1069HN;Amsterdam;Nieuw West;http://www.cordaan.nl;;020 610 4044;;;dagactiviteitencentrum voor volwassen verstandelijk gehandicapten.;;
Verzorgingshuis Emmahof;adres;Emmastraat;33;;-37;1071JB;Amsterdam;Zuid;http://www.pro-senectute.nl;emmahof@pro-senectute.nl;020 679 6069;020 673 8558;;emmahof is een zorglocatie in amsterdam waarbij ouderen zelfstandig in een appartement wonen en daarbij gerichte hulp ontvangen. de emmahof heeft ruimte voor 31 bewoners       stichting pro se;;
Huis van de wijk de Evenaar;adres;Kometensingel;189;;;1033BE;Amsterdam;Noord;http://www.huisvandewijknoord.nl/de-evenaar/;welkom@combiwel.nl;020 723 1120;;;de evenaar is er voor de inwoners van tuindorp-oostzaan, kadoelen, molenwijk en twiske.;;
Mediq Apotheek De Poort;adres;Bijlmerplein;554;;;1102DS;Amsterdam;Zuidoost;http://depoort.mediq-apotheek.nl;depoort@mediq-apotheek.nl;020 416 1440;020 416 1441;;;;
Federatie van Somalische Associaties in Nederland (FSAN);adres;Willem de Zwijgerlaan;350;B;;1055RD;Amsterdam;West;http://www.fsan.nl;;020 486 1628;;"maandag - donderdag: 09:00 - 17:00<br /> vrijdag: 10:00 - 18:00<br /> zaterdag/zondag: gesloten<br /> <br /> fsan heeft een algemeen inloopspreekuur op:<br /> maandag 10.00 -12.00 &amp; 15.00-16.30";"de federatie van somalische associaties nederland (fsan) is een platform van en voor somali&euml;rs";;
FIOM team;adres;Hofgeest;341;;;1102ER;Amsterdam;Zuidoost;http://www.altra.nl/fiom;fiom@altra.nl;020 520 1670;;telefonisch bereikbaar:    dagelijks 10.00-12.00 uur, donderdag ook 13.00-15.00 uur.<br /> in geval van crisis: alle werkdagen 09.00-17.00 uur.;het fiom helpt zowel vrouwen en meisjes, mannen en jongens als professionals.<br /> het fiom biedt hulp, informatie en advies bij onbedoelde zwangerschap. bijvoorbeeld over: abortus, moederschap, a;;
FIOM team;adres;Wingerdweg;52;;;1032AN;Amsterdam;Noord;http://www.altra.nl/fiom;fiom@altra.nl;020 520 1670;;telefonisch bereikbaar:    dagelijks 10.00-12.00 uur, donderdag ook 13.00-15.00 uur.<br /> in geval van crisis: alle werkdagen 09.00-17.00 uur.;het fiom helpt zowel vrouwen en meisjes, mannen en jongens als professionals.<br /> het fiom biedt hulp, informatie en advies bij onbedoelde zwangerschap. bijvoorbeeld over: abortus, moederschap, a;;
Centrum van ouderen Flesseman;adres;Nieuwmarkt;77;;;1011MA;Amsterdam;Centrum;http://www.amsta.nl;infoflesseman@amsta.nl;020 620 4890;;;"<strong>zorgaanbod</strong>    - verzorging en (indien nodig) verpleging    - tijdelijke opname    - zorg aan huis    &nbsp;";;
